* Measurement data measured by REW V5.20.8
* Source: ASIO hdspfire, Analog 1 (1)
* Format: 4M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 13 juin 2022 14:11:20
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: off_0x1400_1_3 juin 13
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 28.796 16.1906
0.732422 29.285 27.1850
1.098633 29.027 36.7812
1.464844 28.305 51.6245
1.831055 28.402 72.0097
2.197266 29.591 88.5949
2.563477 30.777 98.7601
2.929688 31.561 105.9330
3.295898 32.042 111.5693
3.662109 32.222 115.3459
4.028320 32.015 117.6479
4.394531 31.684 118.7599
4.760742 31.847 114.1011
5.126953 32.964 95.1770
5.493164 35.681 62.5648
5.859375 39.718 29.8399
6.225586 43.558 3.1985
6.591797 46.432 -18.7465
6.958008 48.188 -37.0499
7.324219 48.841 -50.8815
7.690430 48.628 -57.0490
8.056641 48.656 -51.8710
8.422852 50.582 -43.3652
8.789062 53.525 -44.6599
9.155273 56.008 -54.2424
9.521484 57.676 -67.1561
9.887695 58.598 -79.9260
10.253906 59.005 -89.7778
10.620117 59.385 -94.7784
10.986328 60.407 -96.2787
11.352539 62.206 -99.2328
11.718750 64.207 -106.2944
12.084961 65.898 -116.2208
12.451172 67.080 -126.6494
12.817383 67.772 -135.2691
13.183594 68.200 -140.0234
13.549805 68.857 -140.2568
13.916016 70.220 -138.7713
14.282227 72.166 -139.9379
14.648438 74.180 -145.1721
15.014648 75.913 -153.3887
15.380859 77.241 -163.1146
15.747070 78.151 -173.1555
16.113281 78.678 177.4658
16.479492 78.899 169.6440
16.845703 78.960 164.1493
17.211914 79.095 161.1921
17.578125 79.549 159.7326
17.944336 80.373 157.6914
18.310547 81.368 153.5342
18.676758 82.267 147.1930
19.042969 82.895 139.5743
19.409180 83.192 131.9112
19.775391 83.200 125.4474
20.141602 83.072 121.1348
20.507812 83.050 119.0349
20.874023 83.316 117.8735
21.240234 83.820 115.9116
21.606445 84.342 112.4684
21.972656 84.690 108.1664
22.338867 84.810 104.2024
22.705078 84.788 101.6354
23.071289 84.804 100.7815
23.437500 85.012 100.9199
23.803711 85.393 100.9377
24.169922 85.826 100.4336
24.536133 86.225 99.9376
24.902344 86.635 100.2068
25.268555 87.206 101.3462
25.634766 88.052 102.4686
26.000977 89.134 102.3975
26.367188 90.310 100.6156
26.733398 91.461 97.3318
27.099609 92.533 92.9918
27.465820 93.521 87.9291
27.832031 94.430 82.3071
28.198242 95.256 76.2217
28.564453 95.989 69.8105
28.930664 96.628 63.2765
29.296875 97.191 56.8230
29.663086 97.709 50.5534
30.029297 98.216 44.4101
30.395508 98.727 38.2140
30.761719 99.229 31.7923
31.127930 99.694 25.1042
31.494141 100.096 18.2729
31.860352 100.431 11.5205
32.226562 100.714 5.0571
32.592773 100.974 -1.0181
32.958984 101.240 -6.7559
33.325195 101.529 -12.3080
33.691406 101.836 -17.8191
34.057617 102.143 -23.3401
34.423828 102.435 -28.8176
34.790039 102.709 -34.1498
35.156250 102.973 -39.2570
35.522461 103.240 -44.1228
35.888672 103.520 -48.7906
36.254883 103.818 -53.3323
36.621094 104.132 -57.8165
36.987305 104.455 -62.2969
37.353516 104.781 -66.8091
37.719727 105.098 -71.3655
38.085938 105.396 -75.9396
38.452148 105.666 -80.4606
38.818359 105.910 -84.8295
39.184570 106.139 -88.9625
39.550781 106.374 -92.8423
39.916992 106.632 -96.5432
40.283203 106.921 -100.2084
40.649414 107.234 -103.9814
41.015625 107.552 -107.9385
41.381836 107.855 -112.0625
41.748047 108.129 -116.2646
42.114258 108.372 -120.4313
42.480469 108.592 -124.4686
42.846680 108.802 -128.3301
43.212891 109.019 -132.0233
43.579102 109.251 -135.5978
43.945312 109.501 -139.1210
44.311523 109.765 -142.6522
44.677734 110.043 -146.2262
45.043945 110.331 -149.8516
45.410156 110.629 -153.5270
45.776367 110.940 -157.2663
46.142578 111.266 -161.1137
46.508789 111.607 -165.1379
46.875000 111.953 -169.4019
47.241211 112.292 -173.9294
47.607422 112.610 -178.6905
47.973633 112.900 176.3824
48.339844 113.165 171.3542
48.706055 113.413 166.2454
49.072266 113.652 161.0126
49.438477 113.882 155.5663
49.804688 114.090 149.8180
50.170898 114.259 143.7302
50.537109 114.365 137.3407
50.903320 114.393 130.7534
51.269531 114.335 124.1063
51.635742 114.193 117.5333
52.001953 113.978 111.1332
52.368164 113.703 104.9546
52.734375 113.377 99.0011
53.100586 113.008 93.2537
53.466797 112.595 87.6990
53.833008 112.137 82.3481
54.199219 111.633 77.2391
54.565430 111.087 72.4244
54.931641 110.505 67.9550
55.297852 109.898 63.8665
55.664062 109.276 60.1759
56.030273 108.654 56.8794
56.396484 108.045 53.9470
56.762695 107.463 51.3108
57.128906 106.917 48.8591
57.495117 106.408 46.4506
57.861328 105.928 43.9517
58.227539 105.460 41.2753
58.593750 104.983 38.3992
58.959961 104.478 35.3526
59.326172 103.933 32.1859
59.692383 103.338 28.9467
60.058594 102.685 25.6773
60.424805 101.964 22.4307
60.791016 101.165 19.2906
61.157227 100.278 16.3770
61.523438 99.300 13.8259
61.889648 98.235 11.7547
62.255859 97.084 10.2372
62.622070 95.840 9.3274
62.988281 94.481 9.1534
63.354492 92.972 10.0667
63.720703 91.294 12.7930
64.086914 89.505 18.4773
64.453125 87.830 28.2861
64.819336 86.683 42.0305
65.185547 86.367 56.9905
65.551758 86.733 70.1052
65.917969 87.456 80.5114
66.284180 88.352 88.5952
66.650391 89.347 94.6445
67.016602 90.374 98.7530
67.382812 91.354 101.1469
67.749023 92.230 102.2685
68.115234 92.987 102.6289
68.481445 93.648 102.6269
68.847656 94.251 102.4443
69.213867 94.831 102.0496
69.580078 95.397 101.3056
69.946289 95.935 100.1107
70.312500 96.420 98.4821
70.678711 96.836 96.5470
71.044922 97.176 94.4797
71.411133 97.452 92.4360
71.777344 97.678 90.5134
72.143555 97.874 88.7451
72.509766 98.054 87.1159
72.875977 98.229 85.5842
73.242188 98.405 84.0974
73.608398 98.584 82.6019
73.974609 98.764 81.0524
74.340820 98.941 79.4240
74.707031 99.111 77.7156
75.073242 99.274 75.9419
75.439453 99.427 74.1140
75.805664 99.574 72.2271
76.171875 99.714 70.2639
76.538086 99.842 68.2148
76.904297 99.953 66.0955
77.270508 100.049 63.9418
77.636719 100.137 61.7817
78.002930 100.224 59.5991
78.369141 100.318 57.3224
78.735352 100.414 54.8537
79.101562 100.495 52.1260
79.467773 100.542 49.1506
79.833984 100.536 46.0248
80.200195 100.472 42.8975
80.566406 100.358 39.9111
80.932617 100.214 37.1457
81.298828 100.063 34.5887
81.665039 99.919 32.1484
82.031250 99.784 29.7042
82.397461 99.652 27.1654
82.763672 99.510 24.5005
83.129883 99.350 21.7259
83.496094 99.169 18.8693
83.862305 98.971 15.9329
84.228516 98.756 12.8746
84.594727 98.524 9.6182
84.960938 98.263 6.0822
85.327148 97.955 2.2159
85.693359 97.577 -1.9772
86.059570 97.108 -6.4338
86.425781 96.532 -11.0450
86.791992 95.841 -15.6852
87.158203 95.039 -20.2535
87.524414 94.135 -24.7199
87.890625 93.139 -29.1660
88.256836 92.052 -33.8030
88.623047 90.856 -38.9643
88.989258 89.515 -45.1023
89.355469 87.979 -52.8571
89.721680 86.207 -63.2848
90.087891 84.248 -78.2780
90.454102 82.478 -100.5692
90.820312 81.907 -130.0283
91.186523 83.117 -158.2773
91.552734 85.179 -178.9238
91.918945 87.226 166.7383
92.285156 88.995 156.2241
92.651367 90.476 148.0671
93.017578 91.721 141.5120
93.383789 92.792 136.1145
93.750000 93.742 131.5363
94.116211 94.606 127.4877
94.482422 95.400 123.7511
94.848633 96.127 120.2100
95.214844 96.791 116.8376
95.581055 97.401 113.6470
95.947266 97.972 110.6304
96.313477 98.519 107.7274
96.679688 99.048 104.8395
97.045898 99.558 101.8748
97.412109 100.038 98.7915
97.778320 100.478 95.6083
98.144531 100.874 92.3843
98.510742 101.227 89.1841
98.876953 101.544 86.0515
99.243164 101.834 82.9988
99.609375 102.101 80.0142
99.975586 102.351 77.0758
100.341797 102.584 74.1646
100.708008 102.800 71.2693
101.074219 102.999 68.3864
101.440430 103.181 65.5161
101.806641 103.345 62.6616
102.172852 103.491 59.8254
102.539062 103.619 57.0114
102.905273 103.729 54.2253
103.271484 103.820 51.4768
103.637695 103.893 48.7787
104.003906 103.950 46.1444
104.370117 103.994 43.5808
104.736328 104.028 41.0837
105.102539 104.053 38.6390
105.468750 104.069 36.2312
105.834961 104.073 33.8555
106.201172 104.063 31.5250
106.567383 104.038 29.2665
106.933594 104.002 27.1050
107.299805 103.959 25.0496
107.666016 103.914 23.0862
108.032227 103.868 21.1866
108.398438 103.822 19.3262
108.764648 103.770 17.4989
109.130859 103.710 15.7213
109.497070 103.641 14.0227
109.863281 103.567 12.4287
110.229492 103.493 10.9493
110.595703 103.424 9.5747
110.961914 103.363 8.2777
111.328125 103.314 7.0234
111.694336 103.275 5.7766
112.060547 103.243 4.5112
112.426758 103.213 3.2159
112.792969 103.181 1.8979
113.159180 103.145 0.5790
113.525391 103.105 -0.7130
113.891602 103.062 -1.9569
114.257812 103.020 -3.1476
114.624023 102.983 -4.2979
114.990234 102.951 -5.4302
115.356445 102.923 -6.5651
115.722656 102.895 -7.7113
116.088867 102.866 -8.8611
116.455078 102.832 -9.9954
116.821289 102.794 -11.0907
117.187500 102.755 -12.1296
117.553711 102.718 -13.1060
117.919922 102.686 -14.0270
118.286133 102.662 -14.9086
118.652344 102.646 -15.7682
119.018555 102.636 -16.6174
119.384766 102.633 -17.4604
119.750977 102.638 -18.2975
120.117188 102.651 -19.1329
120.483398 102.674 -19.9800
120.849609 102.707 -20.8600
121.215820 102.748 -21.7938
121.582031 102.794 -22.7919
121.948242 102.842 -23.8485
122.314453 102.888 -24.9462
122.680664 102.934 -26.0653
123.046875 102.981 -27.1956
123.413086 103.032 -28.3413
123.779297 103.089 -29.5187
124.145508 103.150 -30.7458
124.511719 103.216 -32.0354
124.877930 103.282 -33.3909
125.244141 103.348 -34.8107
125.610352 103.413 -36.2939
125.976562 103.476 -37.8446
126.342773 103.537 -39.4700
126.708984 103.592 -41.1747
127.075195 103.640 -42.9562
127.441406 103.676 -44.8016
127.807617 103.699 -46.6920
128.173828 103.709 -48.6063
128.540039 103.707 -50.5272
128.906250 103.694 -52.4441
129.272461 103.672 -54.3528
129.638672 103.642 -56.2523
130.004883 103.603 -58.1423
130.371094 103.556 -60.0197
130.737305 103.501 -61.8773
131.103516 103.438 -63.7062
131.469727 103.369 -65.4980
131.835938 103.295 -67.2501
132.202148 103.219 -68.9659
132.568359 103.140 -70.6542
132.934570 103.058 -72.3221
133.300781 102.974 -73.9706
133.666992 102.884 -75.5928
134.033203 102.790 -77.1768
134.399414 102.692 -78.7113
134.765625 102.593 -80.1896
135.131836 102.493 -81.6082
135.498047 102.395 -82.9644
135.864258 102.301 -84.2544
136.230469 102.213 -85.4769
136.596680 102.136 -86.6399
136.962891 102.073 -87.7634
137.329102 102.026 -88.8765
137.695312 101.993 -90.0070
138.061523 101.975 -91.1741
138.427734 101.970 -92.3894
138.793945 101.979 -93.6667
139.160156 102.000 -95.0293
139.526367 102.032 -96.5068
139.892578 102.069 -98.1193
140.258789 102.104 -99.8616
140.625000 102.131 -101.6990
140.991211 102.151 -103.5841
141.357422 102.167 -105.4835
141.723633 102.188 -107.3988
142.089844 102.217 -109.3663
142.456055 102.253 -111.4323
142.822266 102.288 -113.6215
143.188477 102.317 -115.9196
143.554688 102.338 -118.2831
143.920898 102.352 -120.6677
144.287109 102.368 -123.0592
144.653320 102.394 -125.4854
145.019531 102.433 -128.0042
145.385742 102.483 -130.6758
145.751953 102.535 -133.5393
146.118164 102.583 -136.6031
146.484375 102.620 -139.8523
146.850586 102.639 -143.2584
147.216797 102.638 -146.7870
147.583008 102.616 -150.3992
147.949219 102.575 -154.0546
148.315430 102.519 -157.7200
148.681641 102.454 -161.3810
