* Measurement data measured by REW V5.20.8
* Source: ASIO hdspfire, Analog 1 (1)
* Format: 4M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 13 juin 2022 14:16:22
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: off_0x1400_4_3 juin 13
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 19.588 24.4330
0.732422 21.040 35.4843
1.098633 21.209 43.1366
1.464844 20.747 56.5052
1.831055 21.114 74.4731
2.197266 22.430 88.4491
2.563477 24.011 96.3448
2.929688 25.760 97.0342
3.295898 27.392 87.4888
3.662109 28.569 66.4642
4.028320 29.483 35.0589
4.394531 30.549 -1.6298
4.760742 31.433 -36.4660
5.126953 30.907 -65.8649
5.493164 26.393 -85.6976
5.859375 21.920 22.0163
6.225586 35.077 22.5446
6.591797 40.886 4.0664
6.958008 44.300 -14.4136
7.324219 46.375 -30.6434
7.690430 47.666 -43.1926
8.056641 48.732 -51.4618
8.422852 50.097 -57.2038
8.789062 51.837 -63.8911
9.155273 53.582 -73.0578
9.521484 54.995 -83.4352
9.887695 55.994 -92.5458
10.253906 56.806 -97.9453
10.620117 57.974 -99.2011
10.986328 59.891 -99.9676
11.352539 62.220 -104.3444
11.718750 64.373 -112.6016
12.084961 66.027 -122.8627
12.451172 67.090 -133.0103
12.817383 67.617 -140.9317
13.183594 67.863 -144.5367
13.549805 68.398 -143.1624
13.916016 69.768 -140.2678
14.282227 71.770 -140.9031
14.648438 73.792 -146.2626
15.014648 75.467 -154.8357
15.380859 76.682 -164.8864
15.747070 77.439 -175.0151
16.113281 77.797 175.9761
16.479492 77.886 169.1700
16.845703 77.946 165.2243
17.211914 78.283 163.5367
17.578125 79.053 161.9411
17.944336 80.095 158.3218
18.310547 81.108 152.1898
18.676758 81.872 144.3383
19.042969 82.292 135.9826
19.409180 82.374 128.3652
19.775391 82.216 122.5817
20.141602 82.014 119.2256
20.507812 82.001 117.8047
20.874023 82.274 116.7551
21.240234 82.709 114.6967
21.606445 83.096 111.4753
21.972656 83.302 107.9011
22.338867 83.327 105.0278
22.705078 83.272 103.5858
23.071289 83.286 103.6039
23.437500 83.460 104.4682
23.803711 83.767 105.5749
24.169922 84.163 106.8987
24.536133 84.672 108.7821
24.902344 85.408 111.1835
25.268555 86.468 113.1994
25.634766 87.810 113.5592
26.000977 89.274 111.5500
26.367188 90.693 107.2444
26.733398 91.958 101.1336
27.099609 93.010 93.8062
27.465820 93.824 85.8391
27.832031 94.396 77.8025
28.198242 94.751 70.2830
28.564453 94.946 63.8539
28.930664 95.093 58.9207
29.296875 95.342 55.4164
29.663086 95.821 52.5693
30.029297 96.540 49.1991
30.395508 97.394 44.4489
30.761719 98.238 38.1732
31.127930 98.965 30.7505
31.494141 99.528 22.7515
31.860352 99.927 14.7288
32.226562 100.195 7.1145
32.592773 100.382 0.1602
32.958984 100.540 -6.0944
33.325195 100.716 -11.7944
33.691406 100.923 -17.1638
34.057617 101.152 -22.3646
34.423828 101.383 -27.4137
34.790039 101.606 -32.2077
35.156250 101.835 -36.6298
35.522461 102.096 -40.6690
35.888672 102.414 -44.4750
36.254883 102.789 -48.2914
36.621094 103.198 -52.3060
36.987305 103.604 -56.5357
37.353516 103.983 -60.8316
37.719727 104.337 -64.9900
38.085938 104.694 -68.9003
38.452148 105.087 -72.6447
38.818359 105.532 -76.4753
39.184570 106.009 -80.6619
39.550781 106.476 -85.3247
39.916992 106.889 -90.3727
40.283203 107.222 -95.5620
40.649414 107.476 -100.6080
41.015625 107.677 -105.2957
41.381836 107.860 -109.5502
41.748047 108.061 -113.4452
42.114258 108.295 -117.1419
42.480469 108.564 -120.7984
42.846680 108.858 -124.5129
43.212891 109.173 -128.3276
43.579102 109.498 -132.2648
43.945312 109.827 -136.3496
44.311523 110.149 -140.6013
44.677734 110.458 -145.0094
45.043945 110.746 -149.5232
45.410156 111.012 -154.0715
45.776367 111.262 -158.5999
46.142578 111.508 -163.1044
46.508789 111.758 -167.6354
46.875000 112.013 -172.2705
47.241211 112.266 -177.0726
47.607422 112.506 177.9380
47.973633 112.725 172.7804
48.339844 112.919 167.4880
48.706055 113.089 162.0784
49.072266 113.238 156.5380
49.438477 113.362 150.8288
49.804688 113.454 144.9118
50.170898 113.503 138.7734
50.537109 113.494 132.4402
50.903320 113.417 125.9783
51.269531 113.265 119.4782
51.635742 113.039 113.0327
52.001953 112.745 106.7146
52.368164 112.391 100.5607
52.734375 111.986 94.5698
53.100586 111.531 88.7160
53.466797 111.023 82.9768
53.833008 110.454 77.3623
54.199219 109.817 71.9308
54.565430 109.109 66.7812
54.931641 108.336 62.0220
55.297852 107.512 57.7286
55.664062 106.654 53.9105
56.030273 105.775 50.5146
56.396484 104.873 47.4736
56.762695 103.942 44.7725
57.128906 102.972 42.4807
57.495117 101.968 40.7107
57.861328 100.950 39.5193
58.227539 99.941 38.8208
58.593750 98.933 38.4154
58.959961 97.886 38.1694
59.326172 96.732 38.2386
59.692383 95.415 39.1930
60.058594 93.941 41.9814
60.424805 92.428 47.6710
60.791016 91.133 56.7714
61.157227 90.353 68.3531
61.523438 90.199 80.2913
61.889648 90.557 90.8248
62.255859 91.249 99.1783
62.622070 92.119 105.1043
62.988281 93.028 108.6752
63.354492 93.858 110.2927
63.720703 94.544 110.5617
64.086914 95.067 110.0906
64.453125 95.442 109.3526
64.819336 95.701 108.6436
65.185547 95.875 108.1209
65.551758 95.985 107.8880
65.917969 96.050 108.0607
66.284180 96.101 108.7581
66.650391 96.179 110.0179
67.016602 96.332 111.7057
67.382812 96.587 113.5246
67.749023 96.939 115.1519
68.115234 97.358 116.3903
68.481445 97.815 117.2030
68.847656 98.294 117.6368
69.213867 98.788 117.7294
69.580078 99.295 117.4736
69.946289 99.808 116.8436
70.312500 100.315 115.8353
70.678711 100.804 114.4835
71.044922 101.271 112.8450
71.411133 101.714 110.9714
71.777344 102.133 108.8933
72.143555 102.529 106.6219
72.509766 102.901 104.1605
72.875977 103.246 101.5154
73.242188 103.561 98.6993
73.608398 103.840 95.7342
73.974609 104.079 92.6548
74.340820 104.276 89.5130
74.707031 104.431 86.3760
75.073242 104.548 83.3134
75.439453 104.637 80.3736
75.805664 104.709 77.5630
76.171875 104.774 74.8426
76.538086 104.834 72.1484
76.904297 104.884 69.4280
77.270508 104.917 66.6683
77.636719 104.929 63.8970
78.002930 104.918 61.1591
78.369141 104.889 58.4857
78.735352 104.848 55.8762
79.101562 104.793 53.3054
79.467773 104.724 50.7506
79.833984 104.632 48.2176
80.200195 104.513 45.7498
80.566406 104.364 43.4152
80.932617 104.193 41.2798
81.298828 104.010 39.3856
81.665039 103.826 37.7378
82.031250 103.652 36.3099
82.397461 103.494 35.0565
82.763672 103.355 33.9282
83.129883 103.234 32.8846
83.496094 103.131 31.8998
83.862305 103.043 30.9620
84.228516 102.971 30.0660
84.594727 102.917 29.1988
84.960938 102.884 28.3287
85.327148 102.874 27.4055
85.693359 102.881 26.3755
86.059570 102.896 25.2040
86.425781 102.910 23.8899
86.791992 102.914 22.4653
87.158203 102.904 20.9814
87.524414 102.879 19.4908
87.890625 102.844 18.0335
88.256836 102.803 16.6307
88.623047 102.763 15.2805
88.989258 102.729 13.9574
89.355469 102.704 12.6156
89.721680 102.685 11.2017
90.087891 102.665 9.6770
90.454102 102.631 8.0397
90.820312 102.574 6.3350
91.186523 102.487 4.6457
91.552734 102.373 3.0657
91.918945 102.242 1.6677
92.285156 102.107 0.4778
92.651367 101.980 -0.5284
93.017578 101.870 -1.4087
93.383789 101.778 -2.2206
93.750000 101.701 -2.9964
94.116211 101.638 -3.7374
94.482422 101.592 -4.4349
94.848633 101.568 -5.1018
95.214844 101.573 -5.7961
95.581055 101.608 -6.6166
95.947266 101.664 -7.6664
96.313477 101.723 -9.0048
96.679688 101.763 -10.6171
97.045898 101.768 -12.4162
97.412109 101.732 -14.2769
97.778320 101.659 -16.0792
98.144531 101.560 -17.7446
98.510742 101.447 -19.2483
98.876953 101.331 -20.6033
99.243164 101.216 -21.8322
99.609375 101.107 -22.9468
99.975586 101.009 -23.9552
100.341797 100.928 -24.8834
100.708008 100.871 -25.7924
101.074219 100.838 -26.7654
101.440430 100.821 -27.8716
101.806641 100.805 -29.1334
102.172852 100.782 -30.5214
102.539062 100.746 -31.9830
102.905273 100.699 -33.4791
103.271484 100.645 -35.0073
103.637695 100.585 -36.5930
104.003906 100.512 -38.2581
104.370117 100.421 -39.9925
104.736328 100.303 -41.7467
105.102539 100.160 -43.4533
105.468750 99.995 -45.0594
105.834961 99.818 -46.5497
106.201172 99.634 -47.9454
106.567383 99.444 -49.2782
106.933594 99.243 -50.5603
107.299805 99.027 -51.7684
107.666016 98.795 -52.8541
108.032227 98.551 -53.7695
108.398438 98.306 -54.4922
108.764648 98.065 -55.0317
109.130859 97.834 -55.4163
109.497070 97.614 -55.6730
109.863281 97.406 -55.8170
110.229492 97.211 -55.8560
110.595703 97.031 -55.8029
110.961914 96.865 -55.6782
111.328125 96.713 -55.4981
111.694336 96.572 -55.2584
112.060547 96.441 -54.9308
112.426758 96.325 -54.4803
112.792969 96.234 -53.8958
113.159180 96.179 -53.2124
113.525391 96.168 -52.5096
113.891602 96.202 -51.8856
114.257812 96.272 -51.4260
114.624023 96.369 -51.1844
114.990234 96.480 -51.1772
115.356445 96.593 -51.3868
115.722656 96.701 -51.7676
116.088867 96.802 -52.2590
116.455078 96.899 -52.8093
116.821289 96.999 -53.4023
117.187500 97.110 -54.0721
117.553711 97.232 -54.8849
117.919922 97.357 -55.8965
118.286133 97.473 -57.1114
118.652344 97.568 -58.4734
119.018555 97.641 -59.8965
119.384766 97.700 -61.3157
119.750977 97.757 -62.7275
120.117188 97.820 -64.1919
120.483398 97.888 -65.7917
120.849609 97.949 -67.5787
121.215820 97.990 -69.5414
121.582031 98.003 -71.6173
121.948242 97.988 -73.7316
122.314453 97.951 -75.8396
122.680664 97.900 -77.9468
123.046875 97.838 -80.0972
123.413086 97.762 -82.3411
123.779297 97.664 -84.7042
124.145508 97.535 -87.1748
124.511719 97.366 -89.7108
124.877930 97.154 -92.2578
125.244141 96.900 -94.7646
125.610352 96.606 -97.1926
125.976562 96.276 -99.5198
126.342773 95.913 -101.7440
126.708984 95.520 -103.8842
127.075195 95.094 -105.9767
127.441406 94.626 -108.0596
127.807617 94.101 -110.1459
128.173828 93.496 -112.1945
128.540039 92.787 -114.0900
128.906250 91.953 -115.6366
129.272461 90.978 -116.5624
129.638672 89.853 -116.5195
130.004883 88.580 -115.0574
130.371094 87.176 -111.5488
130.737305 85.707 -105.0911
131.103516 84.366 -94.6254
131.469727 83.558 -79.9849
131.835938 83.692 -63.7325
132.202148 84.692 -49.9638
132.568359 86.097 -40.4265
132.934570 87.560 -34.4706
133.300781 88.944 -30.9771
133.666992 90.220 -29.1527
134.033203 91.389 -28.5432
134.399414 92.453 -28.8721
134.765625 93.410 -29.9160
135.131836 94.260 -31.4523
135.498047 95.013 -33.2700
135.864258 95.687 -35.2039
136.230469 96.306 -37.1685
136.596680 96.892 -39.1634
136.962891 97.459 -41.2485
137.329102 98.011 -43.4983
137.695312 98.542 -45.9623
138.061523 99.047 -48.6496
138.427734 99.518 -51.5366
138.793945 99.953 -54.5854
139.160156 100.351 -57.7575
139.526367 100.714 -61.0187
139.892578 101.042 -64.3384
140.258789 101.337 -67.6886
140.625000 101.602 -71.0461
140.991211 101.842 -74.3974
141.357422 102.059 -77.7401
141.723633 102.256 -81.0805
142.089844 102.434 -84.4252
142.456055 102.592 -87.7745
142.822266 102.728 -91.1201
143.188477 102.845 -94.4495
143.554688 102.943 -97.7542
143.920898 103.026 -101.0332
144.287109 103.094 -104.2917
144.653320 103.147 -107.5328
145.019531 103.183 -110.7501
145.385742 103.203 -113.9263
145.751953 103.210 -117.0406
146.118164 103.207 -120.0809
146.484375 103.200 -123.0526
146.850586 103.193 -125.9790
147.216797 103.187 -128.8915
147.583008 103.180 -131.8160
147.949219 103.169 -134.7643
