* Measurement data measured by REW V5.20.8
* Source: ASIO hdspfire, Analog 1 (1)
* Format: 4M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 13 juin 2022 14:04:29
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: off_0x1400_4_2 juin 13
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 17.060 16.2549
0.732422 16.848 27.8388
1.098633 15.312 44.2519
1.464844 14.472 76.2424
1.831055 16.074 104.8483
2.197266 17.619 127.9798
2.563477 20.417 152.7395
2.929688 24.435 162.3378
3.295898 27.261 157.4416
3.662109 28.115 145.8896
4.028320 26.490 133.2604
4.394531 20.935 131.8615
4.760742 17.698 -161.4098
5.126953 23.133 -155.8113
5.493164 22.033 161.4117
5.859375 26.492 57.0531
6.225586 35.596 12.4723
6.591797 41.134 -13.8466
6.958008 44.618 -35.1331
7.324219 46.744 -52.7326
7.690430 47.948 -65.8268
8.056641 48.757 -73.2996
8.422852 49.856 -76.2802
8.789062 51.527 -79.3309
9.155273 53.324 -85.5640
9.521484 54.748 -93.9198
9.887695 55.643 -101.4469
10.253906 56.251 -105.0633
10.620117 57.240 -103.9427
10.986328 59.129 -102.5587
11.352539 61.477 -105.8693
11.718750 63.585 -113.7701
12.084961 65.118 -123.8222
12.451172 66.003 -133.5110
12.817383 66.333 -140.3085
13.183594 66.485 -141.7750
13.549805 67.223 -138.0721
13.916016 69.007 -134.8619
14.282227 71.280 -137.1134
14.648438 73.358 -144.4522
15.014648 74.955 -154.7396
15.380859 76.002 -166.1767
15.747070 76.507 -177.3270
16.113281 76.519 173.2395
16.479492 76.188 167.1597
16.845703 75.890 165.7190
17.211914 76.195 167.6480
17.578125 77.280 168.3587
17.944336 78.665 164.7054
18.310547 79.836 157.1627
18.676758 80.546 147.5186
19.042969 80.720 137.5254
19.409180 80.371 128.8245
19.775391 79.608 123.0971
20.141602 78.706 121.7695
20.507812 78.107 124.6694
20.874023 78.079 129.0920
21.240234 78.414 132.5247
21.606445 78.800 135.2143
21.972656 79.217 138.6637
22.338867 79.890 143.1928
22.705078 80.955 147.2426
23.071289 82.250 149.3010
23.437500 83.538 149.5156
23.803711 84.721 149.0203
24.169922 85.887 148.7010
24.536133 87.192 148.4812
24.902344 88.706 147.4189
25.268555 90.360 144.5546
25.634766 92.013 139.5696
26.000977 93.550 132.7066
26.367188 94.901 124.4191
26.733398 96.034 115.1655
27.099609 96.934 105.3693
27.465820 97.597 95.4506
27.832031 98.033 85.8651
28.198242 98.273 77.1096
28.564453 98.391 69.6493
28.930664 98.505 63.7149
29.296875 98.754 59.0073
29.663086 99.227 54.6148
30.029297 99.894 49.4654
30.395508 100.633 42.9604
30.761719 101.315 35.1469
31.127930 101.855 26.4716
31.494141 102.221 17.5011
31.860352 102.427 8.7576
32.226562 102.516 0.6279
32.592773 102.542 -6.6995
32.958984 102.560 -13.2651
33.325195 102.612 -19.2885
33.691406 102.701 -25.0283
34.057617 102.806 -30.6285
34.423828 102.903 -36.0539
34.790039 102.986 -41.1476
35.156250 103.071 -45.7643
35.522461 103.196 -49.9052
35.888672 103.386 -53.7645
36.254883 103.640 -57.6309
36.621094 103.925 -61.6976
36.987305 104.199 -65.9340
37.353516 104.440 -70.1150
37.719727 104.662 -73.9793
38.085938 104.913 -77.4342
38.452148 105.241 -80.6864
38.818359 105.657 -84.1685
39.184570 106.121 -88.2711
39.550781 106.563 -93.1053
39.916992 106.919 -98.4688
40.283203 107.161 -103.9730
40.649414 107.296 -109.2086
41.015625 107.367 -113.8881
41.381836 107.428 -117.9398
41.748047 107.527 -121.5131
42.114258 107.684 -124.8730
42.480469 107.892 -128.2523
42.846680 108.134 -131.7727
43.212891 108.399 -135.4713
43.579102 108.673 -139.3665
43.945312 108.947 -143.4857
44.311523 109.203 -147.8402
44.677734 109.430 -152.3856
45.043945 109.618 -157.0161
45.410156 109.770 -161.6082
45.776367 109.902 -166.0856
46.142578 110.031 -170.4645
46.508789 110.169 -174.8451
46.875000 110.313 -179.3502
47.241211 110.451 175.9446
47.607422 110.567 171.0391
47.973633 110.650 165.9828
48.339844 110.701 160.8237
48.706055 110.722 155.5700
49.072266 110.713 150.1877
49.438477 110.667 144.6310
49.804688 110.570 138.8820
50.170898 110.409 132.9747
50.537109 110.170 126.9893
50.903320 109.849 121.0285
51.269531 109.449 115.1865
51.635742 108.976 109.5234
52.001953 108.440 104.0522
52.368164 107.845 98.7401
52.734375 107.188 93.5267
53.100586 106.455 88.3585
53.466797 105.623 83.2307
53.833008 104.661 78.2290
54.199219 103.538 73.5560
54.565430 102.235 69.5330
54.931641 100.750 66.5646
55.297852 99.109 65.0542
55.664062 97.350 65.2903
56.030273 95.501 67.4337
56.396484 93.541 71.8353
56.762695 91.448 79.7686
57.128906 89.460 93.8570
57.495117 88.479 114.8580
57.861328 89.207 135.1677
58.227539 90.780 147.9886
58.593750 92.308 154.8904
58.959961 93.587 158.9147
59.326172 94.691 161.6741
59.692383 95.718 163.5930
60.058594 96.703 164.5872
60.424805 97.621 164.6215
60.791016 98.441 163.9023
61.157227 99.157 162.7582
61.523438 99.791 161.4438
61.889648 100.376 160.0292
62.255859 100.927 158.4332
62.622070 101.441 156.5562
62.988281 101.898 154.4034
63.354492 102.282 152.1108
63.720703 102.597 149.8774
64.086914 102.861 147.8658
64.453125 103.102 146.1313
64.819336 103.346 144.6161
65.185547 103.605 143.2088
65.551758 103.881 141.8170
65.917969 104.169 140.3982
66.284180 104.469 138.9355
66.650391 104.785 137.3928
67.016602 105.118 135.7002
67.382812 105.460 133.7810
67.749023 105.798 131.5972
68.115234 106.117 129.1720
68.481445 106.408 126.5770
68.847656 106.669 123.8936
69.213867 106.907 121.1771
69.580078 107.127 118.4416
69.946289 107.334 115.6707
70.312500 107.529 112.8420
70.678711 107.707 109.9489
71.044922 107.865 107.0051
71.411133 108.004 104.0356
71.777344 108.124 101.0604
72.143555 108.227 98.0858
72.509766 108.316 95.1057
72.875977 108.389 92.1111
73.242188 108.443 89.1024
73.608398 108.477 86.0948
73.974609 108.489 83.1155
74.340820 108.482 80.1940
74.707031 108.459 77.3499
75.073242 108.427 74.5836
75.439453 108.388 71.8770
75.805664 108.342 69.2019
76.171875 108.288 66.5368
76.538086 108.218 63.8791
76.904297 108.129 61.2501
77.270508 108.020 58.6871
77.636719 107.896 56.2272
78.002930 107.760 53.8917
78.369141 107.619 51.6785
78.735352 107.477 49.5674
79.101562 107.333 47.5367
79.467773 107.183 45.5785
79.833984 107.027 43.7072
80.200195 106.862 41.9548
80.566406 106.692 40.3553
80.932617 106.526 38.9274
81.298828 106.372 37.6612
81.665039 106.238 36.5156
82.031250 106.128 35.4290
82.397461 106.038 34.3393
82.763672 105.965 33.2033
83.129883 105.899 32.0081
83.496094 105.836 30.7670
83.862305 105.774 29.5046
84.228516 105.712 28.2376
84.594727 105.654 26.9634
84.960938 105.601 25.6616
85.327148 105.552 24.3074
85.693359 105.501 22.8909
86.059570 105.442 21.4263
86.425781 105.372 19.9503
86.791992 105.293 18.5057
87.158203 105.210 17.1228
87.524414 105.128 15.8036
87.890625 105.054 14.5195
88.256836 104.988 13.2245
88.623047 104.927 11.8774
88.989258 104.864 10.4622
89.355469 104.791 8.9960
89.721680 104.704 7.5200
90.087891 104.603 6.0802
90.454102 104.492 4.7083
90.820312 104.375 3.4141
91.186523 104.254 2.1927
91.552734 104.129 1.0435
91.918945 103.998 -0.0173
92.285156 103.863 -0.9570
92.651367 103.729 -1.7422
93.017578 103.606 -2.3589
93.383789 103.505 -2.8239
93.750000 103.432 -3.1826
94.116211 103.396 -3.4998
94.482422 103.399 -3.8522
94.848633 103.438 -4.3261
95.214844 103.508 -5.0105
95.581055 103.595 -5.9777
95.947266 103.681 -7.2578
96.313477 103.747 -8.8206
96.679688 103.778 -10.5809
97.045898 103.769 -12.4222
97.412109 103.723 -14.2319
97.778320 103.649 -15.9279
98.144531 103.558 -17.4714
98.510742 103.461 -18.8592
98.876953 103.368 -20.1071
99.243164 103.283 -21.2379
99.609375 103.214 -22.2808
99.975586 103.165 -23.2809
100.341797 103.140 -24.3032
100.708008 103.136 -25.4224
101.074219 103.147 -26.7011
101.440430 103.159 -28.1689
101.806641 103.163 -29.8162
102.172852 103.148 -31.6051
102.539062 103.110 -33.4876
102.905273 103.048 -35.4207
103.271484 102.961 -37.3711
103.637695 102.848 -39.3094
104.003906 102.710 -41.1996
104.370117 102.548 -42.9954
104.736328 102.365 -44.6469
105.102539 102.172 -46.1191
105.468750 101.978 -47.4105
105.834961 101.794 -48.5585
106.201172 101.622 -49.6252
106.567383 101.460 -50.6672
106.933594 101.302 -51.7092
107.299805 101.142 -52.7379
107.666016 100.978 -53.7187
108.032227 100.813 -54.6226
108.398438 100.653 -55.4466
108.764648 100.502 -56.2141
109.130859 100.361 -56.9586
109.497070 100.225 -57.7042
109.863281 100.090 -58.4551
110.229492 99.955 -59.1996
110.595703 99.817 -59.9196
110.961914 99.676 -60.5964
111.328125 99.533 -61.2111
111.694336 99.391 -61.7437
112.060547 99.254 -62.1766
112.426758 99.128 -62.5054
112.792969 99.020 -62.7500
113.159180 98.937 -62.9573
113.525391 98.880 -63.1909
113.891602 98.845 -63.5117
114.257812 98.823 -63.9578
114.624023 98.805 -64.5336
114.990234 98.783 -65.2108
115.356445 98.755 -65.9417
115.722656 98.722 -66.6797
116.088867 98.690 -67.4019
116.455078 98.668 -68.1221
116.821289 98.657 -68.8870
117.187500 98.658 -69.7520
117.553711 98.661 -70.7520
117.919922 98.660 -71.8828
118.286133 98.647 -73.1091
118.652344 98.624 -74.3889
119.018555 98.593 -75.7034
119.384766 98.561 -77.0693
119.750977 98.526 -78.5273
120.117188 98.483 -80.1127
120.483398 98.423 -81.8283
120.849609 98.337 -83.6376
121.215820 98.222 -85.4805
121.582031 98.081 -87.3009
121.948242 97.917 -89.0693
122.314453 97.736 -90.7883
122.680664 97.538 -92.4775
123.046875 97.319 -94.1481
123.413086 97.075 -95.7846
123.779297 96.800 -97.3452
124.145508 96.497 -98.7803
124.511719 96.168 -100.0538
124.877930 95.816 -101.1529
125.244141 95.442 -102.0732
125.610352 95.042 -102.7899
125.976562 94.615 -103.2371
126.342773 94.163 -103.3203
126.708984 93.703 -102.9633
127.075195 93.253 -102.1627
127.441406 92.827 -100.9981
127.807617 92.422 -99.5623
128.173828 92.019 -97.8459
128.540039 91.608 -95.6706
128.906250 91.207 -92.7486
129.272461 90.876 -88.8807
129.638672 90.699 -84.1983
130.004883 90.732 -79.2278
130.371094 90.966 -74.6138
130.737305 91.337 -70.7383
131.103516 91.781 -67.6185
131.469727 92.265 -65.0915
131.835938 92.786 -63.0314
132.202148 93.348 -61.4380
132.568359 93.949 -60.3920
132.934570 94.569 -59.9599
133.300781 95.188 -60.1373
133.666992 95.786 -60.8550
134.033203 96.353 -62.0181
134.399414 96.886 -63.5392
134.765625 97.383 -65.3519
135.131836 97.846 -67.4058
135.498047 98.272 -69.6560
135.864258 98.665 -72.0578
136.230469 99.026 -74.5675
136.596680 99.359 -77.1504
136.962891 99.671 -79.7903
137.329102 99.968 -82.4945
137.695312 100.253 -85.2906
138.061523 100.526 -88.2139
138.427734 100.781 -91.2883
138.793945 101.013 -94.5130
139.160156 101.215 -97.8583
139.526367 101.386 -101.2769
139.892578 101.528 -104.7220
140.258789 101.643 -108.1644
140.625000 101.739 -111.5998
140.991211 101.816 -115.0409
141.357422 101.876 -118.5014
141.723633 101.916 -121.9811
142.089844 101.934 -125.4626
142.456055 101.932 -128.9207
142.822266 101.910 -132.3370
143.188477 101.875 -135.7123
143.554688 101.828 -139.0632
143.920898 101.769 -142.4102
144.287109 101.694 -145.7615
144.653320 101.601 -149.1051
145.019531 101.487 -152.4126
145.385742 101.355 -155.6537
145.751953 101.206 -158.8092
146.118164 101.047 -161.8768
146.484375 100.878 -164.8649
146.850586 100.699 -167.7793
147.216797 100.510 -170.6133
147.583008 100.313 -173.3481
147.949219 100.109 -175.9656
