* Measurement data measured by REW V5.20.8
* Source: ASIO hdspfire, Analog 1 (1)
* Format: 4M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 13 juin 2022 14:11:59
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: on_0x1400_1_3 juin 13
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 12.033 82.6097
0.732422 16.298 69.5457
1.098633 16.816 63.0777
1.464844 15.051 67.1593
1.831055 12.255 93.5337
2.197266 13.686 142.7343
2.563477 19.068 167.2351
2.929688 23.464 170.3199
3.295898 26.188 164.8732
3.662109 27.288 157.1381
4.028320 27.005 152.6296
4.394531 26.427 156.5920
4.760742 27.507 160.1818
5.126953 29.538 145.5918
5.493164 31.728 111.0956
5.859375 35.135 67.7678
6.225586 39.277 30.6984
6.591797 42.844 2.2333
6.958008 45.459 -20.0453
7.324219 47.222 -37.0599
7.690430 48.452 -48.6197
8.056641 49.662 -55.1903
8.422852 51.272 -59.8110
8.789062 53.153 -66.1882
9.155273 54.858 -75.0954
9.521484 56.102 -84.7742
9.887695 56.881 -92.5886
10.253906 57.532 -96.1571
10.620117 58.704 -95.8570
10.986328 60.696 -96.4548
11.352539 62.992 -101.5979
11.718750 65.011 -110.5951
12.084961 66.497 -121.1790
12.451172 67.413 -131.1105
12.817383 67.877 -138.2534
13.183594 68.232 -140.8770
13.549805 69.053 -139.4921
13.916016 70.649 -138.1983
14.282227 72.659 -140.6457
14.648438 74.583 -146.9553
15.014648 76.175 -155.6714
15.380859 77.374 -165.4184
15.747070 78.197 -175.1694
16.113281 78.691 175.8850
16.479492 78.938 168.4507
16.845703 79.072 163.0746
17.211914 79.287 159.7988
17.578125 79.768 157.6998
17.944336 80.551 155.1168
18.310547 81.477 150.7974
18.676758 82.325 144.6183
19.042969 82.940 137.3025
19.409180 83.261 129.9180
19.775391 83.323 123.5649
20.141602 83.262 119.0673
20.507812 83.282 116.4654
20.874023 83.537 114.6907
21.240234 83.991 112.2797
21.606445 84.458 108.6089
21.972656 84.769 104.1707
22.338867 84.868 100.0115
22.705078 84.825 97.1044
23.071289 84.798 95.7981
23.437500 84.933 95.5247
23.803711 85.226 95.2962
24.169922 85.578 94.6815
24.536133 85.907 94.0986
24.902344 86.249 94.2282
25.268555 86.738 95.1869
25.634766 87.479 96.1730
26.000977 88.438 96.0990
26.367188 89.480 94.4995
26.733398 90.493 91.6221
27.099609 91.439 87.9402
27.465820 92.329 83.7625
27.832031 93.181 79.1507
28.198242 93.993 74.0598
28.564453 94.743 68.5194
28.930664 95.416 62.7011
29.296875 96.014 56.8452
29.663086 96.567 51.1214
30.029297 97.112 45.5231
30.395508 97.671 39.8753
30.761719 98.237 33.9650
31.127930 98.783 27.6969
31.494141 99.275 21.1547
31.860352 99.702 14.5463
32.226562 100.073 8.0907
32.592773 100.411 1.9143
32.958984 100.740 -3.9944
33.325195 101.079 -9.7483
33.691406 101.426 -15.4670
34.057617 101.765 -21.1938
34.423828 102.083 -26.8780
34.790039 102.377 -32.4183
35.156250 102.654 -37.7289
35.522461 102.928 -42.7830
35.888672 103.212 -47.6189
36.254883 103.511 -52.3126
36.621094 103.825 -56.9437
36.987305 104.147 -61.5737
37.353516 104.466 -66.2365
37.719727 104.771 -70.9321
38.085938 105.053 -75.6201
38.452148 105.306 -80.2205
38.818359 105.532 -84.6343
39.184570 105.746 -88.7864
39.550781 105.968 -92.6718
39.916992 106.217 -96.3778
40.283203 106.500 -100.0555
40.649414 106.807 -103.8506
41.015625 107.118 -107.8361
41.381836 107.414 -111.9905
41.748047 107.682 -116.2233
42.114258 107.920 -120.4235
42.480469 108.136 -124.5041
42.846680 108.342 -128.4260
43.212891 108.553 -132.1991
43.579102 108.776 -135.8672
43.945312 109.014 -139.4866
44.311523 109.263 -143.1069
44.677734 109.524 -146.7625
45.043945 109.794 -150.4709
45.410156 110.073 -154.2433
45.776367 110.361 -158.0977
46.142578 110.658 -162.0684
46.508789 110.961 -166.2030
46.875000 111.262 -170.5435
47.241211 111.551 -175.1029
47.607422 111.817 -179.8540
47.973633 112.054 175.2609
48.339844 112.264 170.3007
48.706055 112.453 165.2913
49.072266 112.628 160.2075
49.438477 112.790 154.9820
49.804688 112.933 149.5421
50.170898 113.041 143.8524
50.537109 113.096 137.9379
50.903320 113.086 131.8800
51.269531 113.006 125.7881
51.635742 112.857 119.7642
52.001953 112.650 113.8749
52.368164 112.392 108.1421
52.734375 112.092 102.5543
53.100586 111.748 97.0927
53.466797 111.359 91.7574
53.833008 110.922 86.5773
54.199219 110.435 81.6034
54.565430 109.902 76.8909
54.931641 109.330 72.4839
55.297852 108.725 68.4129
55.664062 108.094 64.7028
56.030273 107.447 61.3812
56.396484 106.796 58.4712
56.762695 106.157 55.9653
57.128906 105.549 53.7930
57.495117 104.985 51.8123
57.861328 104.464 49.8444
58.227539 103.973 47.7351
58.593750 103.486 45.4058
58.959961 102.979 42.8605
59.326172 102.432 40.1576
59.692383 101.832 37.3717
60.058594 101.171 34.5709
60.424805 100.441 31.8148
60.791016 99.633 29.1689
61.157227 98.734 26.7217
61.523438 97.729 24.5967
61.889648 96.606 22.9614
62.255859 95.351 22.0394
62.622070 93.957 22.1342
62.988281 92.423 23.6721
63.354492 90.768 27.2599
63.720703 89.063 33.7261
64.086914 87.488 43.9634
64.453125 86.386 58.1105
64.819336 86.126 74.1521
65.185547 86.715 88.5150
65.551758 87.784 99.1268
65.917969 88.976 106.1522
66.284180 90.115 110.5640
66.650391 91.143 113.2457
67.016602 92.054 114.8090
67.382812 92.863 115.6470
67.749023 93.587 116.0136
68.115234 94.248 116.0723
68.481445 94.866 115.9068
68.847656 95.462 115.5156
69.213867 96.043 114.8268
69.580078 96.607 113.7513
69.946289 97.136 112.2491
70.312500 97.610 110.3710
70.678711 98.015 108.2491
71.044922 98.349 106.0486
71.411133 98.623 103.9108
71.777344 98.857 101.9117
72.143555 99.067 100.0544
72.509766 99.266 98.2939
72.875977 99.459 96.5748
73.242188 99.645 94.8577
73.608398 99.823 93.1234
73.974609 99.991 91.3647
74.340820 100.149 89.5806
74.707031 100.296 87.7778
75.073242 100.432 85.9723
75.439453 100.557 84.1827
75.805664 100.678 82.4155
76.171875 100.797 80.6554
76.538086 100.915 78.8703
76.904297 101.029 77.0314
77.270508 101.138 75.1298
77.636719 101.238 73.1765
78.002930 101.331 71.1839
78.369141 101.420 69.1463
78.735352 101.504 67.0374
79.101562 101.577 64.8306
79.467773 101.630 62.5281
79.833984 101.657 60.1754
80.200195 101.654 57.8487
80.566406 101.626 55.6218
80.932617 101.587 53.5295
81.298828 101.549 51.5520
81.665039 101.521 49.6257
82.031250 101.501 47.6763
82.397461 101.485 45.6522
82.763672 101.464 43.5365
83.129883 101.435 41.3398
83.496094 101.395 39.0803
83.862305 101.344 36.7654
84.228516 101.283 34.3808
84.594727 101.214 31.8917
84.960938 101.130 29.2557
85.327148 101.022 26.4451
85.693359 100.876 23.4708
86.059570 100.679 20.3953
86.425781 100.423 17.3256
86.791992 100.112 14.3829
87.158203 99.758 11.6578
87.524414 99.379 9.1693
87.890625 98.988 6.8539
88.256836 98.591 4.5994
88.623047 98.177 2.3052
88.989258 97.730 -0.0702
89.355469 97.231 -2.5068
89.721680 96.669 -4.9564
90.087891 96.031 -7.3765
90.454102 95.301 -9.7281
90.820312 94.454 -11.9326
91.186523 93.459 -13.8108
91.552734 92.289 -15.0459
91.918945 90.932 -15.1932
92.285156 89.393 -13.7336
92.651367 87.699 -10.1094
93.017578 85.876 -3.5818
93.383789 83.998 7.2446
93.750000 82.419 24.5558
94.116211 82.063 47.7167
94.482422 83.387 68.5624
94.848633 85.453 81.5141
95.214844 87.458 88.3008
95.581055 89.195 91.6626
95.947266 90.687 93.2162
96.313477 92.001 93.6978
96.679688 93.183 93.3824
97.045898 94.256 92.3815
97.412109 95.222 90.8018
97.778320 96.083 88.7838
98.144531 96.845 86.4747
98.510742 97.520 83.9929
98.876953 98.121 81.4131
99.243164 98.659 78.7764
99.609375 99.142 76.1094
99.975586 99.577 73.4359
100.341797 99.970 70.7750
100.708008 100.328 68.1340
101.074219 100.659 65.5040
101.440430 100.964 62.8668
101.806641 101.243 60.2084
102.172852 101.495 57.5299
102.539062 101.717 54.8494
102.905273 101.911 52.1941
103.271484 102.078 49.5897
103.637695 102.222 47.0516
104.003906 102.349 44.5810
104.370117 102.462 42.1676
104.736328 102.563 39.7961
105.102539 102.651 37.4534
105.468750 102.725 35.1346
105.834961 102.784 32.8464
106.201172 102.828 30.6038
106.567383 102.857 28.4232
106.933594 102.875 26.3136
107.299805 102.884 24.2715
107.666016 102.887 22.2838
108.032227 102.883 20.3363
108.398438 102.871 18.4249
108.764648 102.848 16.5607
109.130859 102.813 14.7670
109.497070 102.770 13.0700
109.863281 102.721 11.4864
110.229492 102.673 10.0159
110.595703 102.631 8.6394
110.961914 102.597 7.3253
111.328125 102.571 6.0394
111.694336 102.552 4.7551
112.060547 102.536 3.4592
112.426758 102.520 2.1528
112.792969 102.501 0.8464
113.159180 102.479 -0.4455
113.525391 102.456 -1.7092
113.891602 102.431 -2.9349
114.257812 102.407 -4.1187
114.624023 102.386 -5.2642
114.990234 102.370 -6.3846
115.356445 102.360 -7.5011
115.722656 102.353 -8.6363
116.088867 102.347 -9.8033
116.455078 102.337 -10.9966
116.821289 102.319 -12.1920
117.187500 102.293 -13.3558
117.553711 102.263 -14.4600
117.919922 102.232 -15.4935
118.286133 102.205 -16.4629
118.652344 102.185 -17.3836
119.018555 102.170 -18.2698
119.384766 102.164 -19.1303
119.750977 102.167 -19.9725
120.117188 102.181 -20.8109
120.483398 102.206 -21.6689
120.849609 102.242 -22.5725
121.215820 102.284 -23.5401
121.582031 102.331 -24.5750
121.948242 102.376 -25.6654
122.314453 102.419 -26.7924
122.680664 102.460 -27.9376
123.046875 102.501 -29.0891
123.413086 102.544 -30.2452
123.779297 102.591 -31.4135
124.145508 102.643 -32.6088
124.511719 102.701 -33.8493
124.877930 102.761 -35.1491
125.244141 102.822 -36.5128
125.610352 102.882 -37.9353
125.976562 102.940 -39.4078
126.342773 102.997 -40.9266
126.708984 103.054 -42.4985
127.075195 103.109 -44.1385
127.441406 103.161 -45.8588
127.807617 103.205 -47.6595
128.173828 103.238 -49.5258
128.540039 103.259 -51.4351
128.906250 103.269 -53.3686
129.272461 103.268 -55.3185
129.638672 103.258 -57.2856
130.004883 103.237 -59.2690
130.371094 103.203 -61.2569
130.737305 103.156 -63.2264
131.103516 103.098 -65.1541
131.469727 103.034 -67.0292
131.835938 102.967 -68.8618
132.202148 102.899 -70.6767
132.568359 102.830 -72.4979
132.934570 102.754 -74.3339
133.300781 102.670 -76.1729
133.666992 102.575 -77.9919
134.033203 102.471 -79.7706
134.399414 102.361 -81.5001
134.765625 102.245 -83.1802
135.131836 102.123 -84.8094
135.498047 101.995 -86.3751
135.864258 101.862 -87.8525
136.230469 101.729 -89.2173
136.596680 101.602 -90.4598
136.962891 101.488 -91.5962
137.329102 101.393 -92.6653
137.695312 101.319 -93.7166
138.061523 101.264 -94.7935
138.427734 101.225 -95.9251
138.793945 101.197 -97.1257
139.160156 101.178 -98.3998
139.526367 101.165 -99.7476
139.892578 101.157 -101.1654
140.258789 101.150 -102.6442
140.625000 101.144 -104.1693
140.991211 101.139 -105.7236
141.357422 101.137 -107.2957
141.723633 101.143 -108.8862
142.089844 101.159 -110.5109
142.456055 101.186 -112.1951
142.822266 101.222 -113.9639
143.188477 101.266 -115.8328
143.554688 101.317 -117.8055
143.920898 101.372 -119.8799
144.287109 101.433 -122.0574
144.653320 101.500 -124.3499
145.019531 101.573 -126.7799
145.385742 101.651 -129.3737
145.751953 101.730 -132.1516
146.118164 101.803 -135.1212
146.484375 101.866 -138.2737
146.850586 101.913 -141.5859
147.216797 101.942 -145.0254
147.583008 101.953 -148.5551
147.949219 101.947 -152.1431
148.315430 101.930 -155.7711
148.681641 101.907 -159.4407
149.047852 101.880 -163.1724
