* Measurement data measured by REW V5.20.8
* Source: ASIO hdspfire, Analog 1 (1)
* Format: 4M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 13 juin 2022 13:39:29
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: on_0x1400_2_0 juin 13
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 25.755 33.4623
0.732422 28.679 43.8052
1.098633 30.114 44.4269
1.464844 29.913 43.5619
1.831055 27.975 50.0012
2.197266 26.417 80.3090
2.563477 30.039 107.2131
2.929688 33.755 106.0000
3.295898 35.585 92.2105
3.662109 35.521 70.8808
4.028320 33.334 39.5429
4.394531 29.476 -18.4853
4.760742 31.035 -100.0173
5.126953 34.454 -150.9433
5.493164 35.330 164.7293
5.859375 34.994 105.1582
6.225586 38.162 36.7340
6.591797 42.804 -7.8999
6.958008 45.977 -37.4247
7.324219 47.632 -58.7808
7.690430 48.111 -72.1830
8.056641 48.213 -75.1718
8.422852 49.430 -70.9860
8.789062 51.853 -71.7594
9.155273 54.086 -80.4629
9.521484 55.440 -92.8140
9.887695 55.795 -104.2350
10.253906 55.380 -109.5079
10.620117 55.369 -104.0433
10.986328 57.389 -96.3538
11.352539 60.358 -98.9954
11.718750 62.780 -109.6072
12.084961 64.265 -123.1078
12.451172 64.763 -135.7690
12.817383 64.345 -143.4872
13.183594 63.653 -140.4513
13.549805 64.667 -127.8279
13.916016 67.658 -122.5482
14.282227 70.629 -128.3604
14.648438 72.820 -139.7816
15.014648 74.178 -153.2062
15.380859 74.748 -166.5557
15.747070 74.567 -178.0438
16.113281 73.717 174.7532
16.479492 72.597 175.3597
16.845703 72.399 -175.4868
17.211914 73.919 -167.5190
17.578125 76.036 -168.1770
17.944336 77.757 -175.2052
18.310547 78.817 174.7950
18.676758 79.179 164.1014
19.042969 78.838 154.5416
19.409180 77.804 148.3322
19.775391 76.247 148.9904
20.141602 75.026 160.5090
20.507812 75.705 178.0786
20.874023 77.974 -170.9495
21.240234 80.456 -167.8453
21.606445 82.698 -169.0924
21.972656 84.677 -172.7074
22.338867 86.410 -177.8231
22.705078 87.892 176.1605
23.071289 89.132 169.8914
23.437500 90.178 164.0292
23.803711 91.119 159.0269
24.169922 92.089 154.8483
24.536133 93.185 150.8667
24.902344 94.407 146.2117
25.268555 95.671 140.3226
25.634766 96.874 133.1614
26.000977 97.949 125.0341
26.367188 98.868 116.3362
26.733398 99.635 107.4037
27.099609 100.264 98.4697
27.465820 100.776 89.6876
27.832031 101.186 81.1806
28.198242 101.515 73.0754
28.564453 101.793 65.4874
28.930664 102.063 58.4474
29.296875 102.373 51.8112
29.663086 102.752 45.2402
30.029297 103.192 38.3246
30.395508 103.644 30.7812
30.761719 104.047 22.5781
31.127930 104.350 13.9183
31.494141 104.530 5.1378
31.860352 104.592 -3.4089
32.226562 104.568 -11.4511
32.592773 104.498 -18.8766
32.958984 104.420 -25.7520
33.325195 104.358 -32.2581
33.691406 104.306 -38.5634
34.057617 104.246 -44.7180
34.423828 104.162 -50.6417
34.790039 104.059 -56.1995
35.156250 103.955 -61.3109
35.522461 103.875 -66.0231
35.888672 103.831 -70.4943
36.254883 103.814 -74.8940
36.621094 103.801 -79.2935
36.987305 103.768 -83.6270
37.353516 103.709 -87.7436
37.719727 103.636 -91.5073
38.085938 103.576 -94.8900
38.452148 103.553 -98.0048
38.818359 103.573 -101.0532
39.184570 103.621 -104.2162
39.550781 103.668 -107.5662
39.916992 103.689 -111.0510
40.283203 103.669 -114.5406
40.649414 103.607 -117.8948
41.015625 103.513 -121.0119
41.381836 103.398 -123.8462
41.748047 103.275 -126.3926
42.114258 103.150 -128.6586
42.480469 103.029 -130.6482
42.846680 102.918 -132.3680
43.212891 102.830 -133.8467
43.579102 102.764 -135.1389
43.945312 102.716 -136.2996
44.311523 102.676 -137.3389
44.677734 102.638 -138.1960
45.043945 102.605 -138.7584
45.410156 102.595 -138.9258
45.776367 102.639 -138.6910
46.142578 102.766 -138.1846
46.508789 102.989 -137.6409
46.875000 103.298 -137.2974
47.241211 103.668 -137.2949
47.607422 104.071 -137.6481
47.973633 104.490 -138.2852
48.339844 104.924 -139.1204
48.706055 105.380 -140.1177
49.072266 105.869 -141.3236
49.438477 106.393 -142.8552
49.804688 106.944 -144.8513
50.170898 107.499 -147.4131
50.537109 108.030 -150.5659
50.903320 108.511 -154.2559
51.269531 108.921 -158.3704
51.635742 109.246 -162.7679
52.001953 109.484 -167.3027
52.368164 109.634 -171.8389
52.734375 109.703 -176.2585
53.100586 109.702 179.5334
53.466797 109.645 175.6046
53.833008 109.546 171.9874
54.199219 109.418 168.6763
54.565430 109.272 165.6357
54.931641 109.111 162.8229
55.297852 108.934 160.2192
55.664062 108.738 157.8503
56.030273 108.526 155.7810
56.396484 108.308 154.0798
56.762695 108.107 152.7678
57.128906 107.942 151.7839
57.495117 107.828 150.9922
57.861328 107.765 150.2358
58.227539 107.743 149.4049
58.593750 107.745 148.4644
58.959961 107.760 147.4358
59.326172 107.784 146.3529
59.692383 107.817 145.2275
60.058594 107.862 144.0450
60.424805 107.916 142.7823
60.791016 107.976 141.4297
61.157227 108.037 139.9976
61.523438 108.095 138.5083
61.889648 108.150 136.9827
62.255859 108.201 135.4333
62.622070 108.250 133.8639
62.988281 108.301 132.2705
63.354492 108.354 130.6411
63.720703 108.411 128.9551
64.086914 108.470 127.1882
64.453125 108.523 125.3259
64.819336 108.566 123.3768
65.185547 108.595 121.3735
65.551758 108.610 119.3585
65.917969 108.614 117.3599
66.284180 108.613 115.3743
66.650391 108.609 113.3682
67.016602 108.599 111.3035
67.382812 108.577 109.1658
67.749023 108.534 106.9796
68.115234 108.467 104.7975
68.481445 108.378 102.6729
68.847656 108.271 100.6354
69.213867 108.152 98.6824
69.580078 108.023 96.7954
69.946289 107.880 94.9674
70.312500 107.721 93.2197
70.678711 107.545 91.5969
71.044922 107.357 90.1431
71.411133 107.166 88.8739
71.777344 106.981 87.7662
72.143555 106.804 86.7736
72.509766 106.633 85.8568
72.875977 106.464 85.0098
73.242188 106.294 84.2593
73.608398 106.125 83.6418
73.974609 105.964 83.1736
74.340820 105.818 82.8340
74.707031 105.693 82.5765
75.073242 105.588 82.3572
75.439453 105.496 82.1592
75.805664 105.417 81.9934
76.171875 105.352 81.8724
76.538086 105.306 81.7809
76.904297 105.282 81.6646
77.270508 105.278 81.4517
77.636719 105.285 81.0925
78.002930 105.288 80.5898
78.369141 105.280 79.9969
78.735352 105.257 79.3914
79.101562 105.221 78.8379
79.467773 105.181 78.3679
79.833984 105.143 77.9785
80.200195 105.110 77.6511
80.566406 105.083 77.3679
80.932617 105.063 77.1179
81.298828 105.052 76.8909
81.665039 105.049 76.6737
82.031250 105.052 76.4575
82.397461 105.058 76.2476
82.763672 105.067 76.0662
83.129883 105.080 75.9404
83.496094 105.105 75.8798
83.862305 105.145 75.8641
84.228516 105.202 75.8534
84.594727 105.277 75.8126
84.960938 105.366 75.7305
85.327148 105.468 75.6144
85.693359 105.586 75.4647
86.059570 105.725 75.2511
86.425781 105.884 74.9131
86.791992 106.057 74.3894
87.158203 106.232 73.6545
87.524414 106.398 72.7336
87.890625 106.548 71.6902
88.256836 106.681 70.5924
88.623047 106.804 69.4838
88.989258 106.924 68.3694
89.355469 107.046 67.2241
89.721680 107.170 66.0135
90.087891 107.294 64.7109
90.454102 107.412 63.3057
90.820312 107.522 61.8015
91.186523 107.619 60.2124
91.552734 107.701 58.5594
91.918945 107.766 56.8674
92.285156 107.814 55.1613
92.651367 107.848 53.4594
93.017578 107.869 51.7701
93.383789 107.881 50.0936
93.750000 107.881 48.4287
94.116211 107.872 46.7809
94.482422 107.854 45.1637
94.848633 107.827 43.5907
95.214844 107.796 42.0638
95.581055 107.764 40.5673
95.947266 107.732 39.0706
96.313477 107.697 37.5446
96.679688 107.654 35.9757
97.045898 107.597 34.3737
97.412109 107.525 32.7659
97.778320 107.434 31.1871
98.144531 107.328 29.6700
98.510742 107.207 28.2404
98.876953 107.076 26.9165
99.243164 106.939 25.7092
99.609375 106.802 24.6179
99.975586 106.667 23.6276
100.341797 106.538 22.7117
100.708008 106.415 21.8445
101.074219 106.295 21.0144
101.440430 106.175 20.2307
101.806641 106.055 19.5161
102.172852 105.940 18.8876
102.539062 105.834 18.3391
102.905273 105.743 17.8386
103.271484 105.665 17.3398
103.637695 105.599 16.8037
104.003906 105.539 16.2115
104.370117 105.480 15.5654
104.736328 105.420 14.8794
105.102539 105.355 14.1697
105.468750 105.286 13.4510
105.834961 105.213 12.7372
106.201172 105.136 12.0413
106.567383 105.057 11.3708
106.933594 104.980 10.7238
107.299805 104.904 10.0865
107.666016 104.831 9.4417
108.032227 104.757 8.7775
108.398438 104.680 8.0961
108.764648 104.598 7.4128
109.130859 104.509 6.7495
109.497070 104.415 6.1271
109.863281 104.318 5.5599
110.229492 104.221 5.0533
110.595703 104.129 4.6019
110.961914 104.042 4.1884
111.328125 103.963 3.7860
111.694336 103.892 3.3667
112.060547 103.824 2.9135
112.426758 103.756 2.4269
112.792969 103.685 1.9220
113.159180 103.611 1.4160
113.525391 103.537 0.9149
113.891602 103.462 0.4125
114.257812 103.386 -0.1007
114.624023 103.306 -0.6244
114.990234 103.220 -1.1451
115.356445 103.131 -1.6461
115.722656 103.039 -2.1237
116.088867 102.946 -2.5927
116.455078 102.852 -3.0748
116.821289 102.751 -3.5757
117.187500 102.638 -4.0687
117.553711 102.511 -4.5028
117.919922 102.377 -4.8293
118.286133 102.245 -5.0347
118.652344 102.123 -5.1525
119.018555 102.014 -5.2455
119.384766 101.914 -5.3700
119.750977 101.815 -5.5464
120.117188 101.712 -5.7571
120.483398 101.600 -5.9683
120.849609 101.483 -6.1555
121.215820 101.360 -6.3132
121.582031 101.234 -6.4436
121.948242 101.102 -6.5394
122.314453 100.961 -6.5752
122.680664 100.815 -6.5190
123.046875 100.669 -6.3549
123.413086 100.529 -6.0974
123.779297 100.400 -5.7861
124.145508 100.277 -5.4618
124.511719 100.157 -5.1422
124.877930 100.032 -4.8156
125.244141 99.901 -4.4519
125.610352 99.763 -4.0221
125.976562 99.620 -3.5067
126.342773 99.473 -2.8912
126.708984 99.321 -2.1544
127.075195 99.167 -1.2626
127.441406 99.015 -0.1799
127.807617 98.874 1.1122
128.173828 98.755 2.6023
128.540039 98.664 4.2512
128.906250 98.606 6.0094
129.272461 98.580 7.8350
129.638672 98.587 9.6985
130.004883 98.627 11.5751
130.371094 98.701 13.4336
130.737305 98.808 15.2367
131.103516 98.945 16.9489
131.469727 99.109 18.5466
131.835938 99.296 20.0193
132.202148 99.502 21.3606
132.568359 99.728 22.5581
132.934570 99.970 23.5906
133.300781 100.223 24.4362
133.666992 100.481 25.0859
134.033203 100.735 25.5544
134.399414 100.981 25.8793
134.765625 101.216 26.1099
135.131836 101.443 26.2894
135.498047 101.664 26.4425
135.864258 101.886 26.5721
136.230469 102.111 26.6677
136.596680 102.339 26.7164
136.962891 102.572 26.7091
137.329102 102.810 26.6368
137.695312 103.053 26.4824
138.061523 103.301 26.2189
138.427734 103.550 25.8199
138.793945 103.792 25.2765
139.160156 104.021 24.6079
139.526367 104.233 23.8584
139.892578 104.428 23.0786
140.258789 104.610 22.3032
140.625000 104.784 21.5388
140.991211 104.954 20.7681
141.357422 105.120 19.9691
141.723633 105.280 19.1337
142.089844 105.430 18.2733
142.456055 105.570 17.4124
142.822266 105.701 16.5708
143.188477 105.827 15.7546
143.554688 105.952 14.9565
143.920898 106.077 14.1639
144.287109 106.201 13.3685
144.653320 106.325 12.5671
145.019531 106.449 11.7578
145.385742 106.573 10.9336
145.751953 106.697 10.0835
146.118164 106.821 9.1986
146.484375 106.942 8.2784
146.850586 107.058 7.3329
147.216797 107.169 6.3761
147.583008 107.275 5.4185
147.949219 107.379 4.4617
148.315430 107.481 3.4996
148.681641 107.582 2.5237
149.047852 107.681 1.5271
149.414062 107.777 0.5077
149.780273 107.867 -0.5345
150.146484 107.952 -1.5966
